a,Estimated Internet users per 100 inhabitants,c,d,e,f,g,h,i,j,k,l,Metadata for estimated Internet users per 100 inhabitants,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff
Estonia,28.5769538105646,31.5274897673756,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,,,Ministry of Economic Affairs and Communications.,,Ministry of Economic Affairs and Communications.,,Ministry of Economic Affairs and Communications estimate.,,Ministry of Economic Affairs and Communications estimate.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Ethiopia,0.0152637672082567,0.0371623810686744,0.0724022618698295,0.105811658802603,0.155334520794722,0.219659818999505,0.310592656856176,0.37,0.45,0.54,,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,,Ethiopian Telecommunication Agency,,Ethiopian Telecommunication Agency,,Ethiopian Telecommunication Agency
Falkland (Malvinas) Is.,58.6206896551724,64.603876232574,64.1458474004051,64.0161725067385,67.3174015483002,84.005376344086,87.1021775544389,90.06,92.96,95.84,,,,,,,,,,,,,,,,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd
Faroe Islands,32.916392363397,43.2469835228993,53.2992218313613,58.9126409695337,66.5335994677312,67.9026317413939,69.359445124439,75.98,75.57,75.18,,,,,,,,,,,,,,,,,Post and Telecom Surveillance Authority,,Post and Telecom Surveillance Authority,,Post and Telecom Surveillance Authority
Fiji,1.4968547339902,1.8579785936093,6.15264970011985,6.72543473821551,7.4129434854202,8.45363663371359,9.6000384001536,10.8978310454645,12.2031263698898,13.4476659703398,,,Telecom Fiji.,,Telecom Fiji.,,Telecom Fiji.,,Telecom Fiji.,,"Ministry of Information, Communications & Media Relations.",,"Ministry of Information, Communications & Media Relations.",,"Ministry of Information, Communications & Media Relations.",,ITU estimate.,,ITU estimate.,,ITU estimate.
Finland,37.2484617371121,43.1053633522263,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,,Has used at least one other Internet application besides e-mail in last 3 months. Population age 15+.,www.toy.fi.,Has used at least one other Internet application besides e-mail in last 3 months. Population age 15+.,www.toy.fi.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
France,14.3079239430677,26.3259035521688,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,,Population age 15+ using internet in the last year.,Médiamétrie.,Population age 11+ using Internet in the last month.,Médiamétrie.,"Population age 11+, used in the last month.",Médiamétrie.,"Population age 11+, used in the last month.",Médiamétrie.,"Population age 11+, used in the last month.",Médiamétrie.,"Population age 11+, used in the last month.",Médiamétrie.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
French Polynesia,6.3570635452072,6.25158894552365,8.20021648571522,14.1242937853107,17.8845374263753,21.5421854743002,25.1079642462589,28.59,33.87,44.6,,,,,,,,,,,,,,,,,Service des postes et télécommunications,,Service des postes et télécommunications,,Service des postes et télécommunications
Gabon,1.21614061828589,1.34762022159633,1.93953010616212,2.65958659385985,2.97906980035019,4.89326474972412,5.48920080280135,5.76700457562583,6.21478718842337,6.70018567923471,,,Office des postes et des télécommunications (OPT).,,Office des postes et des télécommunications (OPT).,,Gabon Telecom S.A.,,Gabon Telecom S.A.,,Gabon Telecom S.A.,,Gabon Telecom S.A.,,Gabon Telecom S.A.,,ITU estimate.,,Gabon Telecom S.A.,,ITU estimate.
Gambia,0.921794919066406,1.33679116648397,1.79677988296495,2.436781193062,3.30800347812937,3.79900113882231,5.23769115841218,6.20503741852418,6.87868931454042,7.62954987415055,,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,ITU estimate.,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,ITU estimate.
Georgia,0.484746298540492,0.992344436138154,1.58787562980332,2.55881648068489,3.88622135350273,6.07945762869794,7.52687684487832,8.26,23.78,30.51,,,Ministry of Communications.,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,ITU estimate.,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission,,Georgian National Communications Commission,,Georgian National Communications Commission
Germany,30.2163466048889,31.650939416316,48.82,55.9,64.73,68.71,72.16,75.16,77.91,79.26,,,(N)onliner-Atlas.,,(N)onliner-Atlas.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Ghana,0.153615297625799,0.200008060324831,0.830284033818739,1.19305791098328,1.71679770389504,1.83119746104616,2.72317597313987,3.85,4.27,5.44,,,Ghana Telecom.,,Ghana Telecom estimate.,,National Communications Authority (NCA).,,National Communications Authority (NCA).,,National Communications Authority (NCA).,,National Communications Authority (NCA).,,National Communications Authority (NCA).,,National Communications Authority,,National Communications Authority,,National Communications Authority
Gibraltar,19.1316381248919,21.171109436031,23.670239745714,28.3257797920554,32.8860826098395,39.0701308849385,45.29864751181,51.61,58.0,65.07,,,GNC Networks Limited.,,GNC Networks Limited.,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,Gibraltar Regulatory Authority,,Gibraltar Regulatory Authority,,Gibraltar Regulatory Authority
Greece,9.13883730776798,10.9350258080278,14.67,17.8,21.42,24.0,32.25,35.88,41.19,44.54,,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Greenland,31.7478112321162,35.4641368915684,44.154789028418,54.5342598293605,56.0990147610533,57.7034045008656,59.361687268664,61.07,62.82,62.83,,,,,,,,,,,,,,,,,TELE Greenland,,TELE Greenland,,TELE Greenland
Grenada,4.06390799146313,5.12810398216998,14.7588405454867,18.6451821830564,19.5706205843787,20.4878048780488,21.3959911692909,22.29,23.18,24.05,,,,,,,,,,,,,,,,,Cable & Wireless Grenada Ltd. trading as LIME,,Cable & Wireless Grenada Ltd. trading as LIME,,Cable & Wireless Grenada Ltd. trading as LIME
Guam,16.1131270423389,25.3802275337398,31.1922942556271,33.7166817880876,36.1617878387908,38.559877557558,43.8514430048178,46.1504736192355,48.4187021509296,50.6420283820435,,,Guam Telephone Authority.,,Guam Telephone Authority.,,Guam Telephone Authority.,,Guam Telephone Authority.,,Guam Telephone Authority.,,Guam Telephone Authority.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Guatemala,0.712332904508925,1.7382017815873,3.39174627024502,4.54885490848324,6.13054808551856,7.86798280184847,10.1315738371448,12.28,14.32,16.25,,,,,,,,,,,,,,,,,Superintedencia de Telecomunicaciones (SIT),,Superintedencia de Telecomunicaciones (SIT),,Superintedencia de Telecomunicaciones (SIT)
Guernsey,31.8979266347687,44.4657880226953,53.5714285714286,59.1397849462366,64.5161290322581,73.5710243350311,83.6320191158901,,,,,,Cable & Wireless Guernsey.,,Cable & Wireless Guernsey.,,CRC based on survey.,,Cable & Wireless Guernsey.,,2004 HH ICT survey.,,Cable & Wireless Guernsey.,,Cable & Wireless Guernsey.,,,,,,
Guinea,0.0954249236063846,0.175541868491054,0.402022748744397,0.450960370842751,0.508819332302937,0.542254180996637,0.637492122987955,0.780025279059244,0.915280144370188,0.943515782138829,,,,,,,,,,,,,,,,,Ministère de la Communication et des Nouvelles Technologies de l'Information.,,Ministère de la Communication et des Nouvelles Technologies de l'Information.,,ITU estimate.
Guinea-Bissau,0.230103170591588,0.299569144677667,1.02299323436117,1.35419747762901,1.80814220342991,1.90136531610877,2.0571967045036,2.20630223745003,2.35488871087933,2.30328059172582,,,,,,,,,,,,,,,,,Instituto das Comunicaçoes da Guiné-Bissau.,,Instituto das Comunicaçoes da Guiné-Bissau.,,Instituto das Comunicaçoes da Guiné-Bissau.
Guyana,6.61149156572021,13.2069864958563,16.4726409201485,18.400473155024,19.0125535301723,20.946959679721,22.8975771746483,28.85,26.85,24.87,,,,,,,,,,,,,,,,,National Frequency Management Unit,,National Frequency Management Unit,,National Frequency Management Unit
Haiti,0.231270714628821,0.340832326173809,0.893432988337908,1.64735834557778,5.401261907622,6.37620163504938,6.79600048052951,9.25917733649682,10.1251447642573,9.96748705397863,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Honduras,1.20385599891878,1.41528193123711,2.5974025974026,4.8,5.6,6.5,7.8,9.4,9.6,9.8,,,,,,,,Estimated based on Survey's results. Population age 5+.,ITU estimate.,Population age 5+.,"ITU based on ECLAC, OSILAC.",Population age 5+.,"ITU based on ECLAC, OSILAC.",Population age 5+.,ITU estimate.,Population age 5+.,"ITU based on ECLAC, OSILAC.",Population age 5+ over the total population.,Instituto Nacional de Estadistica de Honduras (INE),Estimated based on Survey's results. Population age 5+ over the total population.,ITU estimate.
"Hong Kong, China",27.8277606812581,38.6714032309569,43.0823830278909,52.2000433497404,56.3998803935333,56.9,60.8,64.8,66.7,69.4,,Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,Population age 10+.,Census and Statistics Department.,Population age 10+.,Census and Statistics Department.,Population age 10+.,Census and Statistics Department.,Population age 10+.,Census and Statistics Department.,Population age 10+.,Census and Statistics Department.
Hungary,6.99967635062916,14.5285543028277,16.67,21.63,27.74,38.97,47.06,53.3,61.04,61.81,,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,ITU estimate based on Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Iceland,44.470533824288,49.3929953676426,79.12,83.14,83.88,87.0,89.51,90.6,91.04,93.46,,,Iceland Telecom Ltd.,,Iceland Telecom Ltd.,,ITU estimate based on Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
India,0.527532449930946,0.660146377009928,1.53787558175083,1.68648997063625,1.97613649190559,2.38807499995774,2.80549986534254,3.95,4.38,5.12,,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,December.,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,ITU estimate. ,,ITU estimate. ,September. ,Internet in India [I Cube] Report 2007. ,September. ,"Department of Telecommunications, Ministry of Communications & IT",,"Department of Telecommunications, Ministry of Communications & IT",,"Department of Telecommunications, Ministry of Communications & IT"
Indonesia,0.925563864466858,2.01861385948459,2.13413573295808,2.38701977959476,2.60028587633414,3.60202476259646,4.7648131336665696,5.78627472934199,7.91747938492903,8.69698610251625,,,Indonesian Internet Service Provider Association.,,Indonesian Internet Service Provider Association.,,Indonesian Internet Service Provider Association.,,Indonesian Internet Service Provider Association.,,Indonesian Internet Service Provider Association.,,Indonesian Internet Service Provider Association.,,Indonesian Internet Service Provider Association.,,Indonesian Internet Service Provider Association.,,ITU estimate.,,Directorate General of Posts and Telecommunications
Iran (I.R.),0.934190019959829,1.48422133163363,4.62617511492205,6.93372195304053,7.49,8.1,8.76,9.47,10.24,11.07,,,Ministry of Information and Communications Technology.,,Ministry of Information and Communications Technology.,,Ministry of Information and Communications Technology.,,Communications Regulatory Authority (CRA).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Statistical Center of Iran.
Iraq,,0.049217295382835,0.095650547687384,0.11168247035668,0.130607079847001,0.708273283563442,0.95234424383919,0.93,1.0,1.06,,,,,,,,,,,,,,,,,Ministry of Communications,,Ministry of Communications,,Ministry of Communications
Ireland,17.8504672405807,23.1388121904053,25.85,34.31,36.99,41.61,54.82,60.55,65.34,67.38,,Population age 15+.,Amarach.,Population age 15+.,Amarach.,age 15+.,Amarach.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 15-74.,Eurostat.
Israel,20.8737899981674,17.3786238639049,17.7645990630493,19.5933936579649,22.7704855254035,25.1940424216829,27.8810744577346,48.1280621948445,59.39,63.12,,,,,,,,,,,,,,,,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Italy,23.1108742441037,27.2221169788811,28.04,29.04,33.24,35.0,37.99,40.79,44.53,48.83,,,IDC.,,IDC.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Jamaica,3.11577802729967,3.8630203874764,22.9890518472086,30.4093593926339,40.2607477707545,46.1921393091148,48.4559872404203,55.64,56.88,58.16,,,Cable & Wireless.,,Cable & Wireless.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,ITU estimate.,,Office of Utilities Regulation.,,Office of Utilities Regulation,,Office of Utilities Regulation,,Office of Utilities Regulation
Japan,29.9907403589142,38.5320608612719,46.5942011179917,48.4352658899653,62.3939296327259,66.9210661042901,68.6852703213795,74.3,75.4,78.0,,PC-based only.,Ministry of Internal Affairs and Communications (MIC).,PC-based only.,Ministry of Internal Affairs and Communications (MIC).,PC-based only.,Ministry of Internal Affairs and Communications (MIC).,PC-based only.,Ministry of Internal Affairs and Communications (MIC).,"Incl. users accessing internet through cellphones, PHS and game console.",Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Population age 6+.,Ministry of Internal Affairs and Communications.,Population age 6+.,Ministry of Internal Affairs and Communications.,Population age 6+.,Ministry of Internal Affairs and Communications. ,Population age 6+.,Ministry of Internal Affairs and Communications.,Population age 6+.,Ministry of Internal Affairs and Communications.
Jersey,9.21871398939848,16.0576239304475,19.4063926940639,22.7272727272727,30.6818181818182,31.25,31.8181818181818,32.3863636363636,,,,,,,,,,,,,,,,,,,ITU estimate.,,,,
Jordan,2.62327542156362,4.70571958094159,6.02553241191204,8.46600501623938,11.6587413706379,12.9328520457507,13.8671087882097,20.0,23.0,26.0,,,,,,,,,,,,,,,,Estimated based on % submitted by TRC.,Telecommunications Regulatory Commission.,,ITU estimate.,Population age 5+.,Department of Statistics.
Kazakhstan,0.668594402621264,1.00612421099739,1.67477099516366,2.00041475265872,2.6503946570164,2.96170749150089,3.26836905115978,4.02,11.0,18.2,,,,,,,,,,,,,,,,,Ministry of the Republic of Kazakhstan for Communications and Information,,Ministry of the Republic of Kazakhstan for Communications and Information,,Ministry of the Republic of Kazakhstan for Communications and Information
Kenya,0.318059713612037,0.619782266151425,1.20777388492125,2.94190286101524,3.02352804209621,3.10189770248496,7.5337897198037,7.95,8.67,10.04,,,,,,,,,,,,,,,,,Communication Commission of Kenya,,Communication Commission of Kenya,,Communication Commission of Kenya
Kiribati,1.78522547397736,2.33745894837722,2.5,3.0,3.5,4.0,4.5,6.0,7.0,8.0,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,"NSO, 2006 Kiribati HIES",,ITU estimate.,,ITU estimate.,,ITU estimate.
Korea (Rep.),44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,80.99,81.6,,In the last month. Population age 3+.,KRNIC.,In the last month. Population age 3+.,KRNIC.,In the last month. Population age 3+.,NIDA.,In the last month. Population age 3+.,NIDA.,Population age 3+.,KISA.,Population age 3+.,KISA.,Population age 3+.,KISA.,Population age 3+.,KISA.,Population age 3+.,KCC and KISA.,Population age 3+.,KCC and KISA.
Kuwait,6.73139576837536,8.55179243431475,10.2489679289296,22.4029383804612,22.9271120360078,25.9261083689107,28.7911979549612,31.5665976293485,34.2570166934442,36.8503533948891,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Kyrgyzstan,1.04140114469361,3.00294132719239,2.99926518003089,3.90876626828521,5.09038530732863,10.5338013405507,12.3069069959465,14.03,15.7,40.03,,,,,,,,,,,,,,,,,State Communication Agency under the Government of the Kyrgyz Republic,,State Communication Agency under the Government of the Kyrgyz Republic,,State Communication Agency under the Government of the Kyrgyz Republic
Lao P.D.R.,0.111044032290124,0.181664460654566,0.267899241309349,0.333912466428616,0.361434490258043,0.850357490288917,1.16989342772256,1.64,3.55,6.0,,,,,,,,,,,,,,,,,National Authority of Post and Telecommunication,,National Authority of Post and Telecommunication,,National Authority of Post and Telecommunication
Latvia,6.31906208267861,7.21934580836289,21.94,26.98,38.58,46.0,53.63,59.17,63.41,66.84,,,Ministry of Transport.,,Ministry of Transport.,,ITU estimate.,,ITU estimate.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Lebanon,7.95274373635276,6.78321977527715,7.0,8.0,9.0,10.14,15.0,18.74,22.53,23.68,,,Lebanese Broadcasting International.,,Lebanese Broadcasting International.,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,,,ITU estimate. ,,Ministère des Télécommunications,TRA estimates the number of Internet users based on the number of Internet subscriptions (3 users for every subscription). ,Ministère des Télécommunications,,Ministère des Télécommunications
Lesotho,0.211806070361977,0.261150063093855,1.08394313737534,1.53249659019509,2.17552433931097,2.58024548419449,2.97970818724486,3.44543125970873,3.57660597171212,3.71567536028262,,,Telecomm Lesotho (TCL).,,Telecomm Lesotho (TCL).,,Lesotho Telecommunications Authority (LTA).,,Lesotho Telecommunications Authority (LTA).,,Lesotho Telecommunications Authority (LTA).,,ITU estimate.,,Lesotho Telecommunications Authority (LTA).,,Lesotho Telecommunications Authority (LTA).,,Lesotho Telecommunications Authority (LTA).,,ITU estimate.
Liberia,0.0177027057169472,0.033812227177592,0.0327133071190699,0.0318689345450327,0.0310111848040233,,,0.551376580555429,0.52723150735488,0.505691686352823,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Libya,0.187042622337565,0.366533175284228,2.24441822165946,2.81451798740855,3.53283816154549,3.91778797710285,4.30105178913002,4.72199937850513,5.13172404797383,5.51252545785192,,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,ITU estimate.,,ITU estimate.,,Ministry of Transport and Communications.,,ITU estimate.,,ITU estimate.
Liechtenstein,36.5152298938015,45.1168526483592,59.4707106749926,58.8096918372148,64.0074481394199,63.3713561470216,64.2141613630526,65.080218443168,65.9575065255831,64.0472278688981,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Lithuania,6.42706749477765,7.17935699381369,17.69,25.91,31.23,36.22,43.9,49.9,55.22,59.76,,,Lithuanian Telecom.,,Lithuanian Telecom.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,ITU estimate.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Luxembourg,22.8873279731211,36.163422506306,39.84,54.55,65.88,70.0,72.51,78.92,82.23,87.31,,,Institut Luxembourgeois de Régulation.,Population age 12+.,ILRES.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
"Macao, China",13.6085897418451,22.5212167700561,25.1718801643395,25.7421239826498,31.4840973824121,34.8629271733959,46.4,47.327,49.24,50.22478,,,Estimated by DSTR.,,Estimated by DSTR.,,Estimated by DSTR.,,Estimated by DSTR.,,Estimated by DSTR.,,Estimated by DSTR.,Population age 3+. (Break in comparability),Statistics and Census Service,Estimated based on survey's results. Population age 3+.,ITU estimate.,Population age 3+.,Statistics and Census Service,Estimated based on survey's results. Population age 3+.,ITU estimate.
Madagascar,0.196394691006341,0.222511586178292,0.339720154596142,0.423252419277809,0.525353654946669,0.567721802237403,0.607552238860378,0.65,1.65,1.63,,,,,,,,,,,,,,,,,Office Malagasy d'Etudes et Régulations des télécommunications (OMERT),,Office Malagasy d'Etudes et Régulations des télécommunications (OMERT),,Office Malagasy d'Etudes et Régulations des télécommunications (OMERT)
Malawi,0.126780944756387,0.164020725330811,0.21509472652259,0.278815116302304,0.347505334967577,0.384489334082782,0.425137489606563,0.965864736553132,2.12916694676113,4.69357549492358,,,,,,,,,,,,,,,,,Malawi Communications Regulatory Authority.,,Malawi Communications Regulatory Authority.,,ITU estimate.
Malaysia,21.3847311644538,26.6959725007084,32.3382043389359,34.9711523397291,42.2522656295248,48.629170245984,51.6379889864403,55.7,55.8,55.9,,,PIKOM.,,PIKOM.,,PIKOM.,,PIKOM.,,PIKOM.,,PIKOM.,,PIKOM.,,Malaysian Communications and Multimedia Malaysia,,Malaysian Communications and Multimedia Malaysia,,Malaysian Communications and Multimedia Malaysia
Maldives,2.2038729393788,3.61729064930367,5.3477651689359,5.97659284988557,6.58825487530861,6.86960506696215,11.0363527828647,16.3,23.17,27.93,,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Telecommunications Authority of Maldives (TAM).,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Telecommunications Authority of Maldives (TAM).,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Communications Authority of Maldives,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Communications Authority of Maldives,Not from official survey data. Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Mobile Internet users are not included.,Communications Authority of Maldives
Mali,0.142545755049184,0.185897413256084,0.2270455784917,0.310364443230575,0.432819639900985,0.507063135952247,0.729627280833101,0.81,1.57,1.92,,,,,,,,,,,,,,,,,Comité de Régulation des Télécommnications CRT,,Comité de Régulation des Télécommnications CRT,,Comité de Régulation des Télécommnications CRT
Malta,13.1137087111024,17.8778483243348,28.92,31.64,34.62,41.24,40.41,46.9,50.08,58.86,,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Marshall Islands,1.53427179624871,1.7066140776699,2.33544457522934,2.5697503671072,3.59977681383754,3.8787023977433,3.79559021427832,3.71082548999764,3.62677217276624,3.54604213342789,,,National Telecommunications Authority.,,National Telecommunications Authority.,,National Telecommunications Authority.,,National Telecommunications Authority.,,National Telecommunications Authority.,,National Telecommunications Authority.,,National Telecommunications Authority.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Mauritania,0.192031462434805,0.261448551967195,0.363229414608579,0.424004895843197,0.481470438230954,0.669966474877597,0.97966125273203,1.43361319586788,1.86622698358933,2.27919881603219,,,,,,,,,,,,,,,,,Autorité de Régulation.,,Autorité de Régulation.,,ITU estimate.
Mauritius,7.28153511499385,8.78090401892036,10.252624671916,12.1871062041308,13.6890885885342,15.1722287524914,16.7,20.22,21.81,22.51,,,Mauritius Telecom.,,Mauritius Telecom.,CSO. Population age 12+.,Mauritius Telecom.,,ITU estimate.,,ITU estimate.,,ITU estimate.,Population age 12+.,Central Statistics Office,,Information Communication Technologies Authority,Population age 12+.,Central Statistics Office,,Information Communication Technologies Authority
Mayotte,1.21153380179307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,5.08138415338066,7.0380231165045,11.9,12.9,14.1,17.8,20.0,22.2,23.6,28.3,,,COFETEL.,,INEGI.,Population age 6+.,ITU estimate.,Estimated based on 2002 and 2004 surveys' results. Population age 6+.,ITU estimate.,Population age 6+.,ITU estimate.,Population age 6+.,ITU estimate.,Population age 6+.,ITU estimate.,Population age 6+.,Comisión Federal de Telecomunicaciones,Population age 6+.,Comisión Federal de Telecomunicaciones,Population age 6+.,Comisión Federal de Telecomunicaciones
Micronesia,3.73486213690137,4.66052719883673,5.57009970478472,9.23250210039423,11.0178673081514,11.8813690993008,12.7503392500979,13.6211327333981,14.4909160070281,15.3529369265227,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
